code,region,country,year,month,imports_usd
400,Other countries,Jordan,1995,Mar,0
404,Other countries,Kenya,1995,Mar,0
410,Other countries,"Korea, Republic of",1995,Mar,0
408,Other countries,"Korea, Democratic People's Republic of",1995,Mar,0
414,Other countries,Kuwait,1995,Mar,0
422,Other countries,Lebanon,1995,Mar,0
430,Other countries,Liberia,1995,Mar,0
434,Other countries,Libya,1995,Mar,0
438,Other countries,Liechtenstein,1995,Mar,0
418,Other countries,Lao,1995,Mar,0
807,Other countries,Macedonia (FYR),1995,Mar,0
450,Other countries,Madagascar,1995,Mar,0
446,Other countries,Macau,1995,Mar,0
454,Other countries,Malawi,1995,Mar,0
458,Other countries,Malaysia,1995,Mar,0
462,Other countries,Maldives,1995,Mar,0
466,Other countries,Mali,1995,Mar,0
584,Other countries,Marshall Islands,1995,Mar,0
474,Other countries,Martinique,1995,Mar,0
480,Other countries,Mauritius,1995,Mar,0
484,Other countries,Mexico,1995,Mar,0
492,Other countries,Monaco,1995,Mar,0
496,Other countries,Mongolia,1995,Mar,0
499,Other countries,Montenegro,1995,Mar,0
504,Other countries,Morocco,1995,Mar,0
508,Other countries,Mozambique,1995,Mar,0
104,Other countries,Myanmar,1995,Mar,0
524,Other countries,Nepal,1995,Mar,0
554,Other countries,New Zealand,1995,Mar,0
558,Other countries,Nicaragua,1995,Mar,0
562,Other countries,Niger,1995,Mar,0
566,Other countries,Nigeria,1995,Mar,0
578,Other countries,Norway,1995,Mar,0
512,Other countries,Oman,1995,Mar,0
586,Other countries,Pakistan,1995,Mar,0
275,Other countries,State of Palestine,1995,Mar,0
591,Other countries,Panama,1995,Mar,0
600,Other countries,Paraguay,1995,Mar,0
604,Other countries,Peru,1995,Mar,0
608,Other countries,Philippines,1995,Mar,0
634,Other countries,Qatar,1995,Mar,0
646,Other countries,Rwanda,1995,Mar,0
670,Other countries,Saint Vincent and the Grenadines,1995,Mar,0
674,Other countries,San Marino,1995,Mar,0
682,Other countries,Saudi Arabia,1995,Mar,0
686,Other countries,Senegal,1995,Mar,0
688,Other countries,Serbia,1995,Mar,0
891,Other countries,Serbia and  Montenegro,1995,Mar,0
690,Other countries,Seychelles,1995,Mar,0
694,Other countries,Sierra Leone,1995,Mar,0
702,Other countries,Singapore,1995,Mar,0
706,Other countries,Somalia,1995,Mar,0
710,Other countries,South Africa,1995,Mar,0
144,Other countries,Sri Lanka,1995,Mar,0
729,Other countries,Sudan,1995,Mar,0
756,Other countries,Switzerland,1995,Mar,429.689
760,Other countries,Syrian,1995,Mar,0
158,Other countries,"Taiwan, Province of China",1995,Mar,0
834,Other countries,Tanzania,1995,Mar,0
764,Other countries,Thailand,1995,Mar,0
768,Other countries,Togo,1995,Mar,0
780,Other countries,Trinidad and Tobago,1995,Mar,0
788,Other countries,Tunisia,1995,Mar,0
792,Other countries,Turkey,1995,Mar,1834.011
796,Other countries,Turks and Caicos Islands,1995,Mar,0
800,Other countries,Uganda,1995,Mar,0
784,Other countries,United Arab Emirates,1995,Mar,0
840,Other countries,United States,1995,Mar,31.588
858,Other countries,Uruguay,1995,Mar,0
862,Other countries,Venezuela,1995,Mar,0
704,Other countries,Viet Nam,1995,Mar,0
92,Other countries,"Virgin Islands, British",1995,Mar,0
850,Other countries,"Virgin Islands, U.S",1995,Mar,0
887,Other countries,Yemen,1995,Mar,0
894,Other countries,Zambia,1995,Mar,0
716,Other countries,Zimbabwe,1995,Mar,0
40,EU countries,Austria,1995,Apr,0
56,EU countries,Belgium,1995,Apr,0
100,EU countries,Bulgaria,1995,Apr,221.532
191,EU countries,Croatia,1995,Apr,0
196,EU countries,Cyprus,1995,Apr,0
203,EU countries,Czech Republic,1995,Apr,0
208,EU countries,Denmark,1995,Apr,0
233,EU countries,Estonia,1995,Apr,0
246,EU countries,Finland,1995,Apr,0
250,EU countries,France,1995,Apr,55.048
276,EU countries,Germany,1995,Apr,34.641
300,EU countries,Greece,1995,Apr,88.418
348,EU countries,Hungary,1995,Apr,0
372,EU countries,Ireland,1995,Apr,0
380,EU countries,Italy,1995,Apr,618.744
428,EU countries,Latvia,1995,Apr,0
440,EU countries,Lithuania,1995,Apr,9.845
442,EU countries,Luxembourg,1995,Apr,0
470,EU countries,Malta,1995,Apr,0
528,EU countries,Netherlands,1995,Apr,597.242
616,EU countries,Poland,1995,Apr,8.413
620,EU countries,Portugal,1995,Apr,0
642,EU countries,Romania,1995,Apr,0
703,EU countries,Slovakia,1995,Apr,0
705,EU countries,Slovenia,1995,Apr,0
724,EU countries,Spain,1995,Apr,0
752,EU countries,Sweden,1995,Apr,0
826,EU countries,United Kingdom,1995,Apr,40.03
51,CIS counrties,Armenia,1995,Apr,557.0703000000001
31,CIS counrties,Azerbaijan,1995,Apr,645.818
112,CIS counrties,Belarus,1995,Apr,150.738
398,CIS counrties,Kazakhstan,1995,Apr,20.154
417,CIS counrties,Kyrgyzstan,1995,Apr,7.754
498,CIS counrties,Moldova,1995,Apr,3.398
643,CIS counrties,Russia,1995,Apr,1135.438
762,CIS counrties,Tajikistan,1995,Apr,5.234
795,CIS counrties,Turkmenistan,1995,Apr,559.76
804,CIS counrties,Ukraine,1995,Apr,169.587
860,CIS counrties,Uzbekistan,1995,Apr,29.591
4,Other countries,Afghanistan,1995,Apr,0
8,Other countries,Albania,1995,Apr,0
12,Other countries,Algeria,1995,Apr,0
20,Other countries,Andorra,1995,Apr,0
24,Other countries,Angola,1995,Apr,0
660,Other countries,Anguilla,1995,Apr,0
28,Other countries,Antigua and Barbuda,1995,Apr,0
32,Other countries,Argentina,1995,Apr,0
36,Other countries,Australia,1995,Apr,0
44,Other countries,Bahamas,1995,Apr,0
48,Other countries,Bahrain,1995,Apr,0
50,Other countries,Bangladesh,1995,Apr,0
52,Other countries,Barbados,1995,Apr,0
84,Other countries,Belize,1995,Apr,0
204,Other countries,Benin,1995,Apr,0
64,Other countries,Bhutan,1995,Apr,0
68,Other countries,Bolivia,1995,Apr,0
